ProductID,EntityId,LineofBusinessCode,AdhocFlag,SortOrder
"USTR3048","USTR288","USTR","N",1
"USTR3048","USTR288","USTR","N",2
"USTR3083","USTR84","USTR","N",1
"USTR3083","USTR84","USTR","N",2
"USTR3093","USTR85","USTR","N",1
"USTR3093","USTR85","USTR","N",2
"USTR3165","USTR86","USTR","N",1
"USTR3165","USTR86","USTR","N",2
"USTR3218","USTR204","USTR","N",1
"USTR3218","USTR204","USTR","N",2
"USTR3219","USTR87","USTR","N",1
"USTR3219","USTR87","USTR","N",2
"USTR3230","USTR89","USTR","N",1
"USTR3230","USTR89","USTR","N",2
"USTR3248","USTR91","USTR","N",1
"USTR3248","USTR91","USTR","N",2
"USTR3255","USTR215","USTR","N",1
"USTR3255","USTR215","USTR","N",2
"USTR3281","USTR94","USTR","N",1
"USTR3281","USTR94","USTR","N",2
"USTR3327","USTR95","USTR","N",1
"USTR3327","USTR95","USTR","N",2
"USTR3329","USTR206","USTR","N",1
"USTR3329","USTR206","USTR","N",2
"USTR3366","USTR98","USTR","N",1
"USTR3366","USTR98","USTR","N",2
"USTR3369","USTR99","USTR","N",1
"USTR3369","USTR99","USTR","N",2
"USTR3434","USTR205","USTR","N",1
"USTR3434","USTR205","USTR","N",2
"USTR3602","USTR103","USTR","N",1
"USTR3602","USTR103","USTR","N",2
"USTR3618","USTR104","USTR","N",1
"USTR3618","USTR104","USTR","N",2
"USTR3699","USTR105","USTR","N",1
"USTR3699","USTR105","USTR","N",2
"USTR3716","USTR106","USTR","N",1
"USTR3716","USTR106","USTR","N",2
"USTR3717","USTR107","USTR","N",1
"USTR3717","USTR107","USTR","N",2
"USTR3742","USTR109","USTR","N",1
"USTR3742","USTR109","USTR","N",2
"USTR3745","USTR110","USTR","N",1
"USTR3745","USTR110","USTR","N",2
"USTR3773","USTR111","USTR","N",1
"USTR3773","USTR111","USTR","N",2
"USTR3774","USTR112","USTR","N",1
"USTR3774","USTR112","USTR","N",2
"USTR3841","USTR114","USTR","N",1
"USTR3841","USTR114","USTR","N",2
"USTR3845","USTR115","USTR","N",1
"USTR3845","USTR115","USTR","N",2
"USTR3865","USTR116","USTR","N",1
"USTR3865","USTR116","USTR","N",2
"USTR3871","USTR117","USTR","N",1
"USTR3871","USTR117","USTR","N",2
"USTR3906","USTR119","USTR","N",1
"USTR3906","USTR119","USTR","N",2
"USTR3908","USTR120","USTR","N",1
"USTR3908","USTR120","USTR","N",2
"USTR3911","USTR121","USTR","N",1
"USTR3911","USTR121","USTR","N",2
"USTR3915","USTR118","USTR","N",1
"USTR3915","USTR118","USTR","N",2
"USTR3919","USTR297","USTR","N",1
"USTR3919","USTR297","USTR","N",2
"USTR3920","USTR174","USTR","N",1
"USTR3920","USTR174","USTR","N",2
"USTR4048","USTR126","USTR","N",1
"USTR4048","USTR126","USTR","N",2
"USTR4049","USTR127","USTR","N",1
"USTR4049","USTR127","USTR","N",2
