ProductID,PeriodDate,AdhocFlag,LineofBusinessCode,SortOrder,EquityFlag,TaxType,BenchmarkFlag,PerformanceType,Description,MTD,QTD,YTD,PriorYear,PriorTwoYear,PriorThreeYear,PriorFourYear,PriorFiveYear,PriorSevenYear,PriorTenYear,CYPriorYear,CYPriorTwoYear,CYPriorThreeYear,CYPriorFourYear,CYPriorFiveYear,CYPriorSixYear,CYPriorSevenYear,CYPriorEightYear,CYPriorNineYear,CYPriorTenYear,CYPriorElevenYear,CYPriorTwelveYear,SinceInceptionReturn,InceptionDate,ValueAdded,Risk,TrackingError,InfoRatio,PriorThreeMonth,PriorSixMonth,PriorNineMonth
"USTR3618","2020-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",0.10,1.29,12.58,12.58,12.98,7.72,7.51,6.95,6.73,0.00,,,,,,,,,,,,,12.58,"2021-01-01",,,,,,,
"USTR3618","2020-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",0.10,1.29,12.58,12.04,12.76,7.42,7.22,6.66,6.61,0.00,,,,,,,,,,,,,12.58,"2021-01-01",,,,,,,
"USTR3699","2020-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.13,0.76,11.66,11.66,12.59,7.41,7.28,6.74,6.62,0.00,,,,,,,,,,,,,11.66,"2021-01-01",,,,,,,
"USTR3699","2020-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.13,0.76,11.66,12.49,13.10,7.61,7.43,6.79,6.72,0.00,,,,,,,,,,,,,11.66,"2021-01-01",,,,,,,
"USTR3716","2020-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",0.44,4.92,17.02,17.02,20.61,13.85,10.99,9.23,7.28,0.00,,,,,,,,,,,,,17.02,"2021-01-01",,,,,,,
"USTR3716","2020-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",0.44,4.92,17.02,13.29,18.21,12.22,9.61,8.06,6.32,0.00,,,,,,,,,,,,,17.02,"2021-01-01",,,,,,,
"USTR3717","2020-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.12,0.96,13.70,13.70,14.20,7.80,8.90,9.24,8.38,0.00,,,,,,,,,,,,,13.70,"2021-01-01",,,,,,,
"USTR3717","2020-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.12,0.96,13.70,13.35,13.79,7.41,8.59,8.91,7.90,0.00,,,,,,,,,,,,,13.70,"2021-01-01",,,,,,,
"USTR3742","2020-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",0.12,0.66,7.55,7.55,8.56,5.61,5.28,5.00,4.65,0.00,,,,,,,,,,,,,7.55,"2021-01-01",,,,,,,
"USTR3742","2020-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",0.12,0.66,7.55,7.51,8.11,5.34,4.89,4.44,4.09,0.00,,,,,,,,,,,,,7.55,"2021-01-01",,,,,,,
